* The radius is 1.666
* The number of particles is 120
* The temperature is 1
* The density is 1.3147
* The linear displacement is 0.016
* The angular displacement is 0.00960384
* The number of sweeps is 100000
* The interval between snapshots is 1000

===> The initial energy per particle is 1.24047e+19

#Iteration	Stepsize	Acceptance	Energy
0	0.016	0.575	5.50669e+16
1000	0.016	0.756685	-3.70738
2000	0.016	0.810157	-4.32363
3000	0.016	0.828202	-4.41811
4000	0.016	0.837824	-4.51911
5000	0.016	0.843338	-4.59362
6000	0.016	0.847073	-4.56072
7000	0.016	0.84977	-4.51093
8000	0.016	0.852277	-4.42531
9000	0.016	0.853996	-4.65241
10000	0.016	0.855383	-4.55165
11000	0.016	0.856241	-4.43591
12000	0.016	0.857001	-4.45515
13000	0.016	0.857772	-4.31288
14000	0.016	0.858392	-4.33091
15000	0.016	0.85895	-4.61614
16000	0.016	0.859362	-4.39092
17000	0.016	0.859631	-4.47496
18000	0.016	0.860061	-4.74228
19000	0.016	0.860475	-4.63684
20000	0.016	0.860973	-4.43719
21000	0.016	0.861373	-4.6346
22000	0.016	0.861765	-4.70208
23000	0.016	0.862062	-4.7062
24000	0.016	0.862373	-4.70315
25000	0.016	0.86268	-4.52677
26000	0.016	0.862839	-4.40464
27000	0.016	0.863062	-4.53096
28000	0.016	0.863236	-4.59529
29000	0.016	0.863448	-4.74189
30000	0.016	0.863636	-4.6812
31000	0.016	0.863772	-4.55264
32000	0.016	0.863913	-4.42023
33000	0.016	0.86398	-4.75842
34000	0.016	0.864092	-4.69442
35000	0.016	0.864289	-4.72498
36000	0.016	0.864541	-4.83221
37000	0.016	0.864756	-4.6319
38000	0.016	0.864893	-4.74306
39000	0.016	0.86502	-4.79015
40000	0.016	0.865223	-4.85375
41000	0.016	0.865356	-4.95003
42000	0.016	0.865563	-4.83187
43000	0.016	0.865716	-5.00245
44000	0.016	0.865933	-5.08845
45000	0.016	0.866151	-4.82355
46000	0.016	0.86634	-5.0094
47000	0.016	0.866597	-4.96549
48000	0.016	0.866859	-4.84095
49000	0.016	0.867052	-5.07885
50000	0.016	0.867237	-4.86638
51000	0.016	0.867426	-5.14547
52000	0.016	0.867602	-5.16435
53000	0.016	0.867872	-5.25637
54000	0.016	0.868092	-5.20753
55000	0.016	0.868307	-5.23328
56000	0.016	0.868541	-5.22319
57000	0.016	0.868721	-5.09642
58000	0.016	0.868886	-5.05008
59000	0.016	0.86912	-5.19693
60000	0.016	0.869331	-5.30453
61000	0.016	0.869519	-5.3753
62000	0.016	0.869701	-5.11578
63000	0.016	0.869805	-5.29183
64000	0.016	0.869994	-5.20788
65000	0.016	0.870141	-5.17589
66000	0.016	0.870302	-5.29394
67000	0.016	0.870473	-5.23672
68000	0.016	0.870582	-5.11368
69000	0.016	0.87071	-5.41124
70000	0.016	0.870876	-5.08372
71000	0.016	0.871022	-5.19739
72000	0.016	0.871121	-5.19764
73000	0.016	0.871246	-5.14924
74000	0.016	0.871362	-5.12479
75000	0.016	0.871477	-5.19655
76000	0.016	0.871609	-5.20428
77000	0.016	0.871734	-5.12538
78000	0.016	0.871822	-5.0038
79000	0.016	0.871902	-5.06989
80000	0.016	0.871988	-5.17274
81000	0.016	0.872062	-5.2373
82000	0.016	0.872137	-4.80915
83000	0.016	0.872199	-5.06002
84000	0.016	0.872327	-5.15758
85000	0.016	0.872454	-5.04752
86000	0.016	0.872545	-5.26164
87000	0.016	0.872636	-5.26267
88000	0.016	0.872708	-5.33402
89000	0.016	0.872762	-5.10677
90000	0.016	0.872844	-5.15541
91000	0.016	0.87292	-4.98174
92000	0.016	0.873002	-5.04345
93000	0.016	0.873074	-5.12012
94000	0.016	0.873164	-5.32895
95000	0.016	0.873264	-5.08716
96000	0.016	0.873347	-5.00091
97000	0.016	0.873463	-5.29895
98000	0.016	0.873578	-5.20199
99000	0.016	0.873666	-5.24417

===> The final energy per particle is -5.17832


===> The total execution time is 0.762613 minutes.
