* The radius is 2.103
* The number of particles is 240
* The temperature is 0.66
* The density is 1.30727
* The linear displacement is 0.016
* The angular displacement is 0.00760818
* The number of sweeps is 100000
* The interval between snapshots is 1000

===> The initial energy per particle is 3.78965e+17

#Iteration	Stepsize	Acceptance	Energy
0	0.016	0.55	8.05827e+15
1000	0.016	0.724975	-4.11126
2000	0.016	0.779065	-4.55755
3000	0.016	0.7999	-4.623
4000	0.016	0.81014	-4.62366
5000	0.016	0.816802	-4.7682
6000	0.016	0.821311	-4.8288
7000	0.016	0.825012	-4.82264
8000	0.016	0.827847	-4.87477
9000	0.016	0.830017	-4.82372
10000	0.016	0.831529	-4.90076
11000	0.016	0.832922	-4.89229
12000	0.016	0.8343	-4.84318
13000	0.016	0.83521	-4.89023
14000	0.016	0.836208	-4.88444
15000	0.016	0.836903	-4.78847
16000	0.016	0.837521	-4.93062
17000	0.016	0.838258	-4.85414
18000	0.016	0.838835	-4.93769
19000	0.016	0.839431	-4.86126
20000	0.016	0.83984	-4.92468
21000	0.016	0.840196	-4.91407
22000	0.016	0.840523	-5.00243
23000	0.016	0.840836	-4.87587
24000	0.016	0.841128	-4.88412
25000	0.016	0.841413	-4.93153
26000	0.016	0.841601	-4.7569
27000	0.016	0.841785	-4.8583
28000	0.016	0.841906	-4.87642
29000	0.016	0.842028	-4.87902
30000	0.016	0.842252	-4.83322
31000	0.016	0.842438	-4.93747
32000	0.016	0.842572	-4.89315
33000	0.016	0.842729	-4.88752
34000	0.016	0.842902	-4.92972
35000	0.016	0.843024	-4.95242
36000	0.016	0.843216	-4.93692
37000	0.016	0.843377	-4.94168
38000	0.016	0.843551	-4.96045
39000	0.016	0.84374	-4.98023
40000	0.016	0.84385	-4.99348
41000	0.016	0.843955	-4.93753
42000	0.016	0.844073	-4.97585
43000	0.016	0.844218	-4.98201
44000	0.016	0.844313	-4.99518
45000	0.016	0.844406	-4.89651
46000	0.016	0.844522	-4.85948
47000	0.016	0.844575	-4.95747
48000	0.016	0.844673	-5.01604
49000	0.016	0.844724	-4.87217
50000	0.016	0.844789	-4.89728
51000	0.016	0.84485	-4.99352
52000	0.016	0.844935	-4.87517
53000	0.016	0.844986	-4.97904
54000	0.016	0.845043	-4.9492
55000	0.016	0.845108	-4.93221
56000	0.016	0.845142	-4.89393
57000	0.016	0.845199	-4.97899
58000	0.016	0.84526	-4.95399
59000	0.016	0.845336	-5.0141
60000	0.016	0.845421	-5.01715
61000	0.016	0.845459	-5.00305
62000	0.016	0.845549	-5.0197
63000	0.016	0.84561	-4.90895
64000	0.016	0.845681	-4.98848
65000	0.016	0.845709	-4.83951
66000	0.016	0.845803	-4.90922
67000	0.016	0.845827	-4.92125
68000	0.016	0.845895	-4.97945
69000	0.016	0.845914	-5.00466
70000	0.016	0.845951	-4.97785
71000	0.016	0.845992	-4.96299
72000	0.016	0.846016	-4.92021
73000	0.016	0.846018	-4.90629
74000	0.016	0.846039	-4.94872
75000	0.016	0.846066	-4.98829
76000	0.016	0.846098	-5.00732
77000	0.016	0.84615	-4.94775
78000	0.016	0.846199	-4.9704
79000	0.016	0.846223	-5.01736
80000	0.016	0.846265	-4.93342
81000	0.016	0.846291	-4.89875
82000	0.016	0.846343	-5.08395
83000	0.016	0.846407	-4.98588
84000	0.016	0.846436	-5.01049
85000	0.016	0.846468	-5.01262
86000	0.016	0.846524	-4.89862
87000	0.016	0.846569	-5.08934
88000	0.016	0.846606	-4.98472
89000	0.016	0.846653	-4.89388
90000	0.016	0.846683	-4.87056
91000	0.016	0.846715	-4.95895
92000	0.016	0.846743	-5.00929
93000	0.016	0.846743	-4.93625
94000	0.016	0.846753	-4.94091
95000	0.016	0.846794	-4.89589
96000	0.016	0.846831	-4.95519
97000	0.016	0.846862	-4.9008
98000	0.016	0.84689	-5.02587
99000	0.016	0.846916	-4.99425

===> The final energy per particle is -4.84486


===> The total execution time is 2.86467 minutes.
