* The radius is 1.666
* The number of particles is 120
* The temperature is 2
* The density is 1.3147
* The linear displacement is 0.016
* The angular displacement is 0.00960384
* The number of sweeps is 100000
* The interval between snapshots is 1000

===> The initial energy per particle is 1.24047e+19

#Iteration	Stepsize	Acceptance	Energy
0	0.016	0.575	5.50669e+16
1000	0.016	0.789535	-2.24391
2000	0.016	0.843037	-3.24791
3000	0.016	0.859941	-3.24854
4000	0.016	0.868845	-3.27459
5000	0.016	0.873905	-3.79158
6000	0.016	0.877529	-3.32629
7000	0.016	0.879817	-3.53197
8000	0.016	0.882205	-3.2084
9000	0.016	0.883684	-3.35559
10000	0.016	0.884616	-3.15666
11000	0.016	0.885223	-3.43951
12000	0.016	0.88593	-3.19696
13000	0.016	0.886546	-3.09945
14000	0.016	0.887053	-3.14198
15000	0.016	0.887549	-3.39955
16000	0.016	0.888013	-3.22367
17000	0.016	0.888419	-3.47042
18000	0.016	0.888843	-3.45212
19000	0.016	0.889268	-3.49287
20000	0.016	0.889586	-3.20885
21000	0.016	0.889848	-3.03013
22000	0.016	0.890111	-3.38695
23000	0.016	0.890338	-3.57113
24000	0.016	0.89064	-3.30225
25000	0.016	0.890806	-3.1027
26000	0.016	0.890922	-3.38408
27000	0.016	0.891102	-3.41203
28000	0.016	0.891295	-3.1809
29000	0.016	0.891399	-3.31038
30000	0.016	0.891487	-3.07592
31000	0.016	0.891593	-3.14404
32000	0.016	0.891729	-3.31946
33000	0.016	0.891767	-3.23309
34000	0.016	0.891814	-3.23881
35000	0.016	0.891973	-3.16882
36000	0.016	0.892013	-2.9852
37000	0.016	0.892073	-3.1081
38000	0.016	0.892103	-3.11276
39000	0.016	0.89217	-3.3985
40000	0.016	0.89224	-3.31588
41000	0.016	0.892253	-3.19752
42000	0.016	0.892335	-3.03015
43000	0.016	0.892434	-3.26997
44000	0.016	0.892515	-3.43192
45000	0.016	0.892552	-3.26626
46000	0.016	0.892603	-3.30235
47000	0.016	0.892683	-3.40833
48000	0.016	0.892778	-3.28771
49000	0.016	0.892826	-3.60734
50000	0.016	0.892765	-2.96487
51000	0.016	0.892735	-3.35502
52000	0.016	0.892746	-3.6188
53000	0.016	0.892848	-3.2969
54000	0.016	0.892837	-3.24708
55000	0.016	0.892871	-3.25213
56000	0.016	0.892879	-3.44697
57000	0.016	0.892934	-3.26778
58000	0.016	0.892964	-3.14729
59000	0.016	0.89303	-3.56436
60000	0.016	0.893127	-3.72026
61000	0.016	0.89318	-3.25876
62000	0.016	0.893242	-3.62268
63000	0.016	0.893247	-3.41104
64000	0.016	0.893275	-3.35551
65000	0.016	0.893287	-3.3549
66000	0.016	0.893346	-3.57833
67000	0.016	0.893395	-3.52326
68000	0.016	0.893413	-3.36249
69000	0.016	0.893445	-3.59767
70000	0.016	0.893452	-3.39735
71000	0.016	0.893465	-2.76466
72000	0.016	0.893446	-3.03616
73000	0.016	0.893451	-3.21224
74000	0.016	0.893474	-3.26574
75000	0.016	0.893516	-3.27261
76000	0.016	0.893516	-3.13969
77000	0.016	0.893524	-3.22587
78000	0.016	0.89351	-3.14383
79000	0.016	0.89352	-3.46044
80000	0.016	0.89353	-3.30866
81000	0.016	0.893505	-3.23044
82000	0.016	0.893512	-2.9369
83000	0.016	0.893512	-3.23325
84000	0.016	0.893527	-3.12928
85000	0.016	0.893557	-3.19265
86000	0.016	0.893566	-3.31852
87000	0.016	0.893593	-3.5464
88000	0.016	0.89361	-3.60666
89000	0.016	0.893591	-3.18374
90000	0.016	0.893599	-3.0929
91000	0.016	0.893607	-3.11329
92000	0.016	0.893613	-3.5096
93000	0.016	0.893629	-3.32739
94000	0.016	0.893646	-3.56132
95000	0.016	0.893668	-3.27766
96000	0.016	0.893677	-3.23783
97000	0.016	0.893683	-3.4893
98000	0.016	0.893702	-3.28323
99000	0.016	0.893725	-3.42927

===> The final energy per particle is -3.4492


===> The total execution time is 0.758112 minutes.
