* The radius is 2.103
* The number of particles is 240
* The temperature is 1.2
* The density is 1.30727
* The linear displacement is 0.016
* The angular displacement is 0.00760818
* The number of sweeps is 100000
* The interval between snapshots is 1000

===> The initial energy per particle is 3.78965e+17

#Iteration	Stepsize	Acceptance	Energy
0	0.016	0.55	8.05827e+15
1000	0.016	0.758013	-3.0837
2000	0.016	0.81068	-3.63616
3000	0.016	0.830437	-3.82456
4000	0.016	0.840613	-3.81448
5000	0.016	0.847345	-3.95371
6000	0.016	0.851646	-4.0021
7000	0.016	0.855131	-3.94959
8000	0.016	0.857937	-4.14997
9000	0.016	0.859956	-4.03099
10000	0.016	0.861458	-4.04615
11000	0.016	0.862782	-4.04998
12000	0.016	0.864036	-3.94119
13000	0.016	0.864914	-4.1055
14000	0.016	0.865874	-3.97357
15000	0.016	0.866548	-3.87618
16000	0.016	0.867057	-4.15995
17000	0.016	0.867642	-4.26904
18000	0.016	0.86816	-4.07451
19000	0.016	0.868699	-4.04932
20000	0.016	0.869101	-4.23017
21000	0.016	0.869444	-4.09434
22000	0.016	0.869774	-4.08829
23000	0.016	0.870038	-4.08606
24000	0.016	0.870259	-3.93864
25000	0.016	0.870518	-4.15975
26000	0.016	0.870691	-4.11508
27000	0.016	0.870829	-4.13599
28000	0.016	0.870995	-3.98408
29000	0.016	0.871131	-4.12857
30000	0.016	0.871325	-3.91383
31000	0.016	0.87145	-4.22309
32000	0.016	0.871561	-4.13064
33000	0.016	0.871671	-4.03738
34000	0.016	0.871782	-4.06301
35000	0.016	0.871871	-3.99866
36000	0.016	0.872067	-4.14715
37000	0.016	0.872213	-4.14279
38000	0.016	0.872352	-4.01021
39000	0.016	0.872498	-4.14603
40000	0.016	0.872595	-4.22268
41000	0.016	0.87271	-4.02016
42000	0.016	0.872814	-4.06845
43000	0.016	0.872917	-4.12019
44000	0.016	0.873001	-4.00903
45000	0.016	0.873041	-3.97332
46000	0.016	0.873114	-4.16552
47000	0.016	0.873148	-4.12055
48000	0.016	0.873232	-4.11762
49000	0.016	0.873298	-4.12479
50000	0.016	0.873372	-4.12301
51000	0.016	0.873418	-4.2071
52000	0.016	0.873496	-4.11495
53000	0.016	0.873559	-4.24548
54000	0.016	0.873632	-4.08927
55000	0.016	0.873702	-4.19631
56000	0.016	0.873749	-4.11783
57000	0.016	0.873816	-4.32585
58000	0.016	0.873898	-4.0461
59000	0.016	0.873963	-4.28078
60000	0.016	0.874039	-4.34772
61000	0.016	0.874089	-4.11396
62000	0.016	0.874146	-4.24404
63000	0.016	0.874205	-4.02079
64000	0.016	0.87423	-4.00533
65000	0.016	0.87421	-3.91405
66000	0.016	0.874236	-4.02693
67000	0.016	0.874227	-4.03039
68000	0.016	0.87427	-4.14302
69000	0.016	0.874311	-4.16727
70000	0.016	0.874346	-4.03959
71000	0.016	0.874392	-4.1648
72000	0.016	0.87443	-4.11146
73000	0.016	0.874468	-4.10546
74000	0.016	0.874507	-4.14413
75000	0.016	0.874536	-4.10921
76000	0.016	0.874546	-4.26557
77000	0.016	0.87457	-4.08178
78000	0.016	0.874581	-4.02865
79000	0.016	0.874581	-4.26324
80000	0.016	0.874627	-4.11946
81000	0.016	0.874643	-3.94756
82000	0.016	0.874666	-4.17441
83000	0.016	0.874723	-4.1152
84000	0.016	0.874754	-4.09685
85000	0.016	0.874761	-4.10128
86000	0.016	0.874776	-3.98206
87000	0.016	0.874811	-4.3649
88000	0.016	0.87485	-4.16257
89000	0.016	0.874884	-4.05647
90000	0.016	0.874887	-3.90003
91000	0.016	0.874916	-4.14242
92000	0.016	0.87494	-4.22754
93000	0.016	0.874947	-4.09069
94000	0.016	0.874964	-4.21208
95000	0.016	0.875002	-4.24761
96000	0.016	0.875019	-4.11875
97000	0.016	0.875035	-4.07164
98000	0.016	0.875058	-4.2272
99000	0.016	0.875071	-4.20643

===> The final energy per particle is -3.96555


===> The total execution time is 2.86846 minutes.
